possession_difference,shot_difference,attendance,outcome
-16.400000000000006,-10,31664,Home Win
25.400000000000006,-2,52256,Draw
33.800000000000004,2,40041,Draw
5.799999999999997,0,24190,Away Win
17.0,3,36260,Draw
10.599999999999994,3,53282,Home Win
14.400000000000006,19,60325,Home Win
-5.0,4,53126,Draw
-15.200000000000003,-4,10248,Draw
-26.799999999999997,-4,32056,Draw
-27.0,-8,30158,Away Win
-35.599999999999994,6,62470,Home Win
-21.599999999999994,-10,25350,Draw
15.799999999999997,7,53088,Home Win
-21.200000000000003,-5,23343,Draw
25.0,5,40075,Home Win
24.599999999999994,15,52247,Home Win
1.2000000000000028,3,61870,Away Win
-41.199999999999996,3,75546,Home Win
21.599999999999994,10,31645,Home Win
4.400000000000006,-1,39305,Away Win
-22.400000000000006,9,29301,Home Win
17.0,1,31511,Home Win
-0.20000000000000284,5,17031,Home Win
6.799999999999997,-5,42008,Home Win
-5.200000000000003,-12,24460,Home Win
-4.599999999999994,-4,39998,Away Win
25.0,-3,30150,Away Win
26.599999999999994,-1,36173,Draw
11.799999999999997,3,39978,Draw
-6.599999999999994,5,25132,Away Win
33.599999999999994,9,60319,Draw
22.799999999999997,4,30813,Away Win
17.0,11,73322,Home Win
-46.0,-6,17163,Home Win
18.599999999999994,-7,61651,Away Win
-44.599999999999994,5,29229,Draw
-8.599999999999994,-6,31658,Away Win
17.799999999999997,-9,9972,Away Win
25.0,-1,24344,Home Win
47.400000000000006,14,53444,Draw
18.0,8,52211,Draw
35.599999999999994,-5,31647,Away Win
26.200000000000003,11,62467,Away Win
14.0,14,53343,Home Win
-38.0,-17,36889,Away Win
20.599999999999994,6,40046,Home Win
31.599999999999994,9,73608,Home Win
-21.799999999999997,-6,17137,Draw
-27.599999999999994,-19,25176,Away Win
17.599999999999994,5,39252,Away Win
20.200000000000003,-4,32185,Away Win
-32.800000000000004,7,31010,Away Win
-3.799999999999997,-4,42085,Away Win
33.0,8,60125,Home Win
30.199999999999996,-1,31581,Away Win
5.400000000000006,0,24246,Away Win
49.199999999999996,19,52786,Away Win
-28.400000000000006,1,10382,Home Win
19.799999999999997,6,53331,Home Win
-37.0,1,29045,Home Win
9.400000000000006,2,61667,Home Win
7.200000000000003,9,62459,Away Win
-2.200000000000003,5,52264,Home Win
-25.200000000000003,-3,34624,Away Win
-11.400000000000006,-9,40142,Away Win
-16.400000000000006,-2,42058,Home Win
10.400000000000006,9,30402,Away Win
-16.0,-10,62451,Away Win
-6.799999999999997,1,62008,Away Win
21.799999999999997,9,36304,Home Win
41.199999999999996,12,52395,Home Win
-5.599999999999994,9,28869,Draw
-42.800000000000004,-11,30732,Away Win
-3.200000000000003,-10,39206,Away Win
38.199999999999996,19,60263,Home Win
6.0,3,73682,Home Win
-28.599999999999994,-5,32223,Away Win
-38.800000000000004,-17,10430,Away Win
15.599999999999994,-1,17051,Draw
-18.0,4,31746,Home Win
-11.200000000000003,-2,25130,Home Win
